Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPSPanel,PPI,Cpu_Name,Gpu_Brand
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Apple,Ultrabook,8,Mac,1.34,0,0,127.67794013309688,Intel Core i5,Intel
HP,Notebook,8,others,1.86,0,0,141.21199808219862,Intel Core i5,Intel
Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,AMD
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Acer,Notebook,4,Windows,2.1,0,0,100.45466986113651,AMD Processor,AMD
Apple,Ultrabook,16,Mac,2.04,0,1,220.53462386625827,Intel Core i7,Intel
Apple,Ultrabook,8,Mac,1.34,0,0,127.67794013309688,Intel Core i5,Intel
Asus,Ultrabook,16,Windows,1.3,0,0,157.3505121487356,Intel Core i7,Nvidia
Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121487356,Intel Core i5,Intel
HP,Notebook,4,others,1.86,0,0,100.45466986113651,Intel Core i5,Intel
HP,Notebook,4,others,1.86,0,0,141.21199808219862,Intel Core i3,Intel
Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,AMD
Dell,Notebook,4,Windows,2.2,0,0,141.21199808219862,Intel Core i3,AMD
Apple,Ultrabook,8,Mac,0.92,0,1,226.41554716935852,Other Intel Processor,Intel
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i7,AMD
Apple,Ultrabook,16,Mac,1.83,0,1,220.53462386625827,Intel Core i7,AMD
Lenovo,Notebook,8,others,2.2,0,0,141.21199808219862,Intel Core i3,Nvidia
Dell,Ultrabook,8,Windows,1.22,1,1,165.6321180513006,Intel Core i5,Intel
Asus,Netbook,2,Windows,0.98,0,0,135.0942111925629,Other Intel Processor,Intel
Lenovo,Gaming,8,Windows,2.5,0,1,141.21199808219862,Intel Core i5,Nvidia
HP,Notebook,4,others,1.86,0,0,100.45466986113651,AMD Processor,AMD
Dell,2 in 1 Convertible,8,Windows,1.62,1,0,165.6321180513006,Intel Core i5,Intel
HP,Ultrabook,8,Windows,1.91,0,0,141.21199808219862,Intel Core i7,Intel
Dell,Notebook,4,Windows,2.3,0,0,100.45466986113651,Intel Core i3,Intel
Apple,Ultrabook,8,Mac,1.35,0,0,127.67794013309688,Intel Core i5,Intel
Dell,Notebook,8,Windows,2.2,0,0,141.21199808219862,Intel Core i5,AMD
Dell,Ultrabook,8,Windows,1.88,0,0,141.21199808219862,Intel Core i7,Intel
HP,Notebook,8,Windows,2.5,0,0,127.33567457123111,Intel Core i5,Nvidia
Chuwi,Notebook,4,Windows,1.89,0,0,141.21199808219862,Other Intel Processor,Intel
Asus,Notebook,2,Windows,1.65,0,0,111.93520355955211,AMD Processor,AMD
HP,Notebook,4,Windows,2.71,0,0,127.33567457123111,AMD Processor,AMD
Dell,Ultrabook,16,Windows,1.2,1,0,276.053530085501,Intel Core i7,Intel
Apple,Ultrabook,8,Mac,1.35,0,0,127.67794013309688,Intel Core i5,Intel
Lenovo,Notebook,4,Windows,1.44,0,0,111.93520355955211,Other Intel Processor,Intel
Acer,Notebook,4,others,2.1,0,0,100.45466986113651,Intel Core i3,Intel
Dell,Notebook,8,Windows,2.8,0,1,127.33567457123111,Intel Core i5,AMD
HP,Notebook,4,Windows,1.86,0,0,100.45466986113651,Intel Core i5,Intel
HP,Notebook,8,Windows,2.1,0,0,141.21199808219862,Intel Core i5,Nvidia
Asus,Notebook,4,others,2.0,0,0,141.21199808219862,Intel Core i3,Intel
Dell,Gaming,16,Windows,2.65,0,1,141.21199808219862,Intel Core i7,Nvidia
Asus,Notebook,8,others,2.3,0,0,100.45466986113651,Intel Core i5,Nvidia
Acer,Notebook,4,Windows,2.2,0,1,141.21199808219862,Intel Core i5,Intel
Dell,2 in 1 Convertible,12,Windows,2.77,1,0,127.33567457123111,Intel Core i5,Nvidia
Apple,Ultrabook,8,Mac,1.37,0,1,226.98300468106115,Intel Core i5,Intel
Lenovo,Notebook,4,others,2.2,0,0,100.45466986113651,Intel Core i3,Intel
Asus,Gaming,8,Windows,3.2,0,0,127.33567457123111,AMD Processor,AMD
Dell,Notebook,4,Windows,2.3,0,0,141.21199808219862,Intel Core i5,AMD
Asus,Notebook,4,Windows,2.8,0,0,90.58340172449303,Other Intel Processor,Nvidia
Lenovo,2 in 1 Convertible,4,others,0.69,1,1,224.17380907857276,Other Intel Processor,Intel
Acer,Notebook,8,Windows,2.2,0,1,141.21199808219862,Intel Core i7,Nvidia
